name,city,country,ID,extended_ID,latitude,longitude
Lester B. Pearson International Airport,Toronto,Canada,YYZ,CYYZ,43.6772003174,-79.63059997559999
Houari Boumediene Airport,Algier,Algeria,ALG,DAAG,36.691001892089844,3.215409994125366
Murtala Muhammed International Airport,Lagos,Nigeria,LOS,DNMM,6.5773701667785645,3.321160078048706
Tunis Carthage International Airport,Tunis,Tunisia,TUN,DTTA,36.85100173950195,10.22719955444336
Frankfurt am Main Airport,Frankfurt,Germany,FRA,EDDF,50.033333,8.570556
London Gatwick Airport,London,United Kingdom,LGW,EGKK,51.148102,-0.190278
London Heathrow Airport,London,United Kingdom,LHR,EGLL,51.4706,-0.461941
Amsterdam Airport Schiphol,Amsterdam,Netherlands,AMS,EHAM,52.308601,4.76389
Barcelona International Airport,Barcelona,Spain,BCN,LEBL,41.2971,2.0784599999999998
Adolfo Suárez Madrid–Barajas Airport,Madrid,Spain,MAD,LEMD,40.471926,-3.56264
Charles de Gaulle International Airport,Paris,France,CDG,LFPG,49.012798,2.55
Sheremetyevo International Airport,Moscow,Russia,SVO,UUEE,55.972599,37.4146
